Digi-Key Part No.,Manufacturer Name,Mfr Part No.,Customer Reference,Qty1,
*,*,*,J1/J2/J3/J4/J5/J6/J7/JP1/R48/R49/U2,11,*** PART# '*' NOT FOUND : J1/J2/J3/J4/J5/J6/J7/JP1/R48/R49/U2
350-2044-1-ND,Dialight,598-8170-107F,LED1/LED2/LED5/LED6,4,
478-10372-1-ND,AVX Corporation,08051A121FAT2A,C32,1,
478-3755-1-ND,AVX Corporation,08053C104KAT2A,REF1,3,
350-2038-1-ND,Dialight,5988110107F,LED3/LED4,2,
732-2953-1-ND,Wurth Electronics Inc,74479775222,L1,1,
535-9721-1-ND,Abracon LLC,ABM3B-8.000MHZ-10-1-U-T,Y1,1,
399-1157-1-ND,Kemet,C0805C682K5RACTU,C31,1,
445-7507-1-ND,TDK Corporation,C2012C0G1H222J060AA,C45/C46,2,
445-7522-1-ND,TDK Corporation,C2012C0G1H223J125AA,C27,1,
445-11722-1-ND,TDK Corporation,C3216JB1H106K160AB,REF7,8,
CD1206-B260CT-ND,Bourns Inc.,CD1206-B260,D2,1,
1276-1163-1-ND,Samsung Electro-Mechanics America Inc,CL21C150JBANNNC,C7/C8,2,
296-33275-5-ND,Texas Instruments,DRV8302DCA,U4,1,
P100CCT-ND,Panasonic Electronic Components,ERJ-6ENF1000V,R44/R45/R46/R47,4,
P10.0KCCT-ND,Panasonic Electronic Components,ERJ-6ENF1002V,R9/R10/R11/R12/R27/R39,6,
P1.00MCCT-ND,Panasonic Electronic Components,ERJ-6ENF1004V,REF27,1,
P120CCT-ND,Panasonic Electronic Components,ERJ-6ENF1200V,R5,1,
P18.0KCCT-ND,Panasonic Electronic Components,ERJ-6ENF1802V,R37,1,
P220KCCT-ND,Panasonic Electronic Components,ERJ-6ENF2203V,R41,1,
P39.0KCCT-ND,Panasonic Electronic Components,ERJ-6ENF3902V,R28/R31/R33/R35/R53/R56/R59,7,
P0.0ACT-ND,Panasonic Electronic Components,ERJ-6GEY0R00V,R1/R2/R13/R50,4,
P4.7DCT-ND,Panasonic Electronic Components,ERJ-6RQF4R7V,R51/R52/R54/R55/R57/R58,6,
490-10510-1-ND,Murata Electronics North America,GRM21BR60G107ME15L,C48,1,
490-3335-1-ND,Murata Electronics North America,GRM21BR61E475KA12L,C20,1,
490-1673-1-ND,Murata Electronics North America,GRM21BR71E104KA01L,REF43,2,
490-1684-1-ND,Murata Electronics North America,GRM219R71C224KA01D,C37/C38/C39,3,
490-8288-1-ND,Murata Electronics North America,GRM2165C1H472FA01D,C2/C3/C4/C5,4,
IRFS7530TRLPBFCT-ND,Infineon Technologies,IRFS7530TRLPBF,Q1/Q2/Q3/Q4/Q5/Q6,6,
490-5838-1-ND,Murata Electronics North America,KCM55WR72A156MH01K,C33/C43,2,
LM3671MF-3.3/NOPBCT-ND,Texas Instruments,LM3671MF-3.3/NOPB,U3,1,
MCP2562FD-E/SN-ND,Microchip Technology,MCP2562FD-E/SN,U1,1,
490-4800-1-ND,Murata Electronics North America,NCP18XH103F03RB,R26,1,
RMCF0805FT1K00CT-ND,Stackpole Electronics Inc.,RMCF0805FT1K00,R14/R15/R16/R17/R18/R19/R20/R21/R22/R23/R24/R25/R30/R40,14,
RMCF0805FT2K20CT-ND,Stackpole Electronics Inc.,RMCF0805FT2K20,R6/R7/R8/R29/R32/R34/R36,7,
RMCF0805FT3K30CT-ND,Stackpole Electronics Inc.,RMCF0805FT3K30,R38,1,
RMCF0805FT15K0CT-ND,Stackpole Electronics Inc.,RMCF0805FT15K0,R42,1,
RMCF0805FT22R0CT-ND,Stackpole Electronics Inc.,RMCF0805FT22R0,R3/R4,2,
F5748CT-ND,Littelfuse Inc.,SMF5.0A,D1,1,
587-2985-1-ND,Taiyo Yuden,TMK212BBJ106KG-T,C28,1,
240-2713-1-ND,Laird-Signal Integrity Products,TYS5040220M-10,L2,1,
587-3169-1-ND,Taiyo Yuden,UMK212BB7225KG-T,C10/C11/C12/C13/C14/C15/C17/C18/C19/C21/C22/C23/C24/C25/C26/C29/C30,17,
